endereco;area;quartos;wc;vagas;valor;condominio;wlink
Alameda Coronel Eugênio Jardim, 430 - Setor Marista, Goiânia - GO;244;3;4;--;R$ 2.650.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-marista-bairros-goiania-244m2-venda-RS2650000-id-2575137456/
Rua Jaçanã, 408 - Parque Amazônia, Goiânia - GO;96;3;3;2;R$ 480.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-parque-amazonia-bairros-goiania-com-garagem-96m2-venda-RS480000-id-2574996202/
Rua 56, 879 - Jardim Goiás, Goiânia - GO;128;3;4;2;R$ 1.100.000;R$ 900;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-128m2-venda-RS1100000-id-2569229484/
Rua Francisca Costa Cunha D. Tita, 955 - Setor Aeroporto, Goiânia - GO;70;2;1;1;R$ 189.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-aeroporto-bairros-goiania-com-garagem-70m2-venda-RS189000-id-2536928593/
Vila Fróes, Goiânia - GO;60;2;1;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-froes-bairros-goiania-com-garagem-60m2-venda-RS240000-id-2556269426/
Rua S 3, 419 - Setor Bela Vista, Goiânia - GO;77;2;2;1;R$ 380.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-77m2-venda-RS380000-id-2542816274/
Avenida Pedro Paulo de Souza, 953 - Goiania 2, Goiânia - GO;107;3;3;2;R$ 490.000;R$ 500;https://www.vivareal.com.br//imovel/apartamento-3-quartos-goiania-2-bairros-goiania-com-garagem-107m2-venda-RS490000-id-2548185809/
Rua JC101, Sn - Residencial Jardins do Cerrado 7, Goiânia - GO;42;2;1;1;R$ 110.000;R$ 125;https://www.vivareal.com.br//imovel/apartamento-2-quartos-residencial-jardins-do-cerrado-7-bairros-goiania-com-garagem-42m2-venda-RS110000-id-2538492874/
Rua 7, 247 - Setor Oeste, Goiânia - GO;94;4;3;1;R$ 450.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-94m2-venda-RS450000-id-2558996359/
Rua T 29, 1001 - Setor Bueno, Goiânia - GO;87;2;3;2;R$ 600.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-87m2-venda-RS600000-id-2516525476/
Rua 8, 754 - Setor Central, Goiânia - GO;74;3;1;1;R$ 179.000;R$ 381;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-central-bairros-goiania-com-garagem-74m2-venda-RS179000-id-2574931683/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;135;2-3;5;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-135m-2557184022/
Avenida T 4, 1278 - Setor Bueno, Goiânia - GO;118;4;5;2;R$ 730.000;R$ 606;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-bueno-bairros-goiania-com-garagem-118m2-venda-RS730000-id-2572784993/
Rua T 29, 634 - Setor Bueno, Goiânia - GO;127;3;4;3;R$ 800.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-127m2-venda-RS800000-id-2575673982/
Avenida T 13, 786 - Setor Bueno, Goiânia - GO;112;3;2;2;R$ 550.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-112m2-venda-RS550000-id-2569319991/
Rua 227, 360 - Setor Leste Universitário, Goiânia - GO;57;2;1;1;R$ 265.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-leste-universitario-bairros-goiania-com-garagem-57m2-venda-RS265000-id-2572878781/
Rua T 27, 133 - Setor Bueno, Goiânia - GO;105;3;4;2;R$ 630.000;R$ 630;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-105m2-venda-RS630000-id-2574161587/
Rua 14, 601 - Jardim Goiás, Goiânia - GO;91;3;3;2;R$ 750.000;R$ 440;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-91m2-venda-RS750000-id-2556662669/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;219;4;6;4;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-219m-2557188121/
Avenida dos Alpes, 144 - Vila Alpes, Goiânia - GO;65;2;2;2;R$ 335.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-alpes-bairros-goiania-com-garagem-65m2-venda-RS335000-id-2574340384/
Alameda Fleury Curado, 264 - Setor Faiçalville, Goiânia - GO;51;2;2;1;R$ 235.000;R$ 300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-51m2-venda-RS235000-id-2573043519/
Rua T 30, 2078 - Setor Bueno, Goiânia - GO;72;2;2;2;R$ 710.000;R$ 490;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-72m2-venda-RS710000-id-2567957521/
Rua T 65 A, 32 - Setor Bela Vista, Goiânia - GO;78;2;3;1;R$ 450.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-78m2-venda-RS450000-id-2535106177/
Rua 1, 370 - Setor Oeste, Goiânia - GO;152;3;4;2;R$ 525.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-152m2-venda-RS525000-id-2577307747/
Alameda Fleury Curado, 159 - Setor Faiçalville, Goiânia - GO;49;2;2;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-49m2-venda-RS240000-id-2563909778/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;88;2-3;3;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-88m-2557181553/
Rua 7, 310 - Setor Oeste, Goiânia - GO;200;4;4;2;R$ 830.000;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-200m2-venda-RS830000-id-2564075856/
Rua 3, 334 - Setor Oeste, Goiânia - GO;179;3;5;3;R$ 1.398.000;R$ 850;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-179m2-venda-RS1398000-id-2563736722/
Rua T 51, 921 - Setor Bueno, Goiânia - GO;89;2;3;2;R$ 600.000;R$ 620;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-89m2-venda-RS600000-id-2536274809/
Rua Maria Alice, 221 - Jardim Atlântico, Goiânia - GO;66;3;2;2;R$ 365.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-atlantico-bairros-goiania-com-garagem-66m2-venda-RS365000-id-2521982911/
Rua 15 - Setor Oeste, Goiânia - GO;108;3;3;1;R$ 360.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-108m2-venda-RS360000-id-2539165228/
Avenida H, 333 - Jardim Goiás, Goiânia - GO;345;4;6;4;R$ 2.450.000;R$ 2.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-345m2-venda-RS2450000-id-2575159691/
Avenida T 8, Que 64 lt 3/4 - Setor Bueno, Goiânia - GO;70;2;3;1;R$ 72.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-70m2-venda-RS72000-id-2547267362/
Rua 70 - Jardim Goiás, Goiânia - GO;151;4;5;3;R$ 900.000;R$ 750;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-151m2-venda-RS900000-id-2575488595/
Rua T 27, 1468 - Setor Bueno, Goiânia - GO;191;3;5;3;R$ 1.700.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-191m2-venda-RS1700000-id-2574721811/
Rua 5, 418 - Setor Central, Goiânia - GO;330;4;5;4;R$ 650.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-central-bairros-goiania-com-garagem-330m2-venda-RS650000-id-2554712605/
Alameda Coronel Eugênio Jardim, 430 - Setor Marista, Goiânia - GO;244;3;4;--;R$ 2.650.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-marista-bairros-goiania-244m2-venda-RS2650000-id-2575137456/
Rua Jaçanã, 408 - Parque Amazônia, Goiânia - GO;96;3;3;2;R$ 480.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-parque-amazonia-bairros-goiania-com-garagem-96m2-venda-RS480000-id-2574996202/
Rua 56, 879 - Jardim Goiás, Goiânia - GO;128;3;4;2;R$ 1.100.000;R$ 900;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-128m2-venda-RS1100000-id-2569229484/
Rua Francisca Costa Cunha D. Tita, 955 - Setor Aeroporto, Goiânia - GO;70;2;1;1;R$ 189.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-aeroporto-bairros-goiania-com-garagem-70m2-venda-RS189000-id-2536928593/
Vila Fróes, Goiânia - GO;60;2;1;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-froes-bairros-goiania-com-garagem-60m2-venda-RS240000-id-2556269426/
Rua S 3, 419 - Setor Bela Vista, Goiânia - GO;77;2;2;1;R$ 380.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-77m2-venda-RS380000-id-2542816274/
Avenida Pedro Paulo de Souza, 953 - Goiania 2, Goiânia - GO;107;3;3;2;R$ 490.000;R$ 500;https://www.vivareal.com.br//imovel/apartamento-3-quartos-goiania-2-bairros-goiania-com-garagem-107m2-venda-RS490000-id-2548185809/
Rua JC101, Sn - Residencial Jardins do Cerrado 7, Goiânia - GO;42;2;1;1;R$ 110.000;R$ 125;https://www.vivareal.com.br//imovel/apartamento-2-quartos-residencial-jardins-do-cerrado-7-bairros-goiania-com-garagem-42m2-venda-RS110000-id-2538492874/
Rua 7, 247 - Setor Oeste, Goiânia - GO;94;4;3;1;R$ 450.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-94m2-venda-RS450000-id-2558996359/
Rua T 29, 1001 - Setor Bueno, Goiânia - GO;87;2;3;2;R$ 600.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-87m2-venda-RS600000-id-2516525476/
Rua 8, 754 - Setor Central, Goiânia - GO;74;3;1;1;R$ 179.000;R$ 381;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-central-bairros-goiania-com-garagem-74m2-venda-RS179000-id-2574931683/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;135;2-3;5;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-135m-2557184022/
Avenida T 4, 1278 - Setor Bueno, Goiânia - GO;118;4;5;2;R$ 730.000;R$ 606;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-bueno-bairros-goiania-com-garagem-118m2-venda-RS730000-id-2572784993/
Rua T 29, 634 - Setor Bueno, Goiânia - GO;127;3;4;3;R$ 800.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-127m2-venda-RS800000-id-2575673982/
Avenida T 13, 786 - Setor Bueno, Goiânia - GO;112;3;2;2;R$ 550.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-112m2-venda-RS550000-id-2569319991/
Rua 227, 360 - Setor Leste Universitário, Goiânia - GO;57;2;1;1;R$ 265.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-leste-universitario-bairros-goiania-com-garagem-57m2-venda-RS265000-id-2572878781/
Rua T 27, 133 - Setor Bueno, Goiânia - GO;105;3;4;2;R$ 630.000;R$ 630;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-105m2-venda-RS630000-id-2574161587/
Rua 14, 601 - Jardim Goiás, Goiânia - GO;91;3;3;2;R$ 750.000;R$ 440;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-91m2-venda-RS750000-id-2556662669/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;88;2-3;3;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-88m-2557181553/
Avenida dos Alpes, 144 - Vila Alpes, Goiânia - GO;65;2;2;2;R$ 335.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-alpes-bairros-goiania-com-garagem-65m2-venda-RS335000-id-2574340384/
Alameda Fleury Curado, 264 - Setor Faiçalville, Goiânia - GO;51;2;2;1;R$ 235.000;R$ 300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-51m2-venda-RS235000-id-2573043519/
Rua T 30, 2078 - Setor Bueno, Goiânia - GO;72;2;2;2;R$ 710.000;R$ 490;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-72m2-venda-RS710000-id-2567957521/
Rua T 65 A, 32 - Setor Bela Vista, Goiânia - GO;78;2;3;1;R$ 450.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-78m2-venda-RS450000-id-2535106177/
Rua 1, 370 - Setor Oeste, Goiânia - GO;152;3;4;2;R$ 525.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-152m2-venda-RS525000-id-2577307747/
Alameda Fleury Curado, 159 - Setor Faiçalville, Goiânia - GO;49;2;2;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-49m2-venda-RS240000-id-2563909778/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;219;4;6;4;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-219m-2557188121/
Rua 7, 310 - Setor Oeste, Goiânia - GO;200;4;4;2;R$ 830.000;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-200m2-venda-RS830000-id-2564075856/
Rua 3, 334 - Setor Oeste, Goiânia - GO;179;3;5;3;R$ 1.398.000;R$ 850;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-179m2-venda-RS1398000-id-2563736722/
Rua T 51, 921 - Setor Bueno, Goiânia - GO;89;2;3;2;R$ 600.000;R$ 620;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-89m2-venda-RS600000-id-2536274809/
Rua Maria Alice, 221 - Jardim Atlântico, Goiânia - GO;66;3;2;2;R$ 365.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-atlantico-bairros-goiania-com-garagem-66m2-venda-RS365000-id-2521982911/
Rua 15 - Setor Oeste, Goiânia - GO;108;3;3;1;R$ 360.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-108m2-venda-RS360000-id-2539165228/
Avenida H, 333 - Jardim Goiás, Goiânia - GO;345;4;6;4;R$ 2.450.000;R$ 2.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-345m2-venda-RS2450000-id-2575159691/
Avenida T 8, Que 64 lt 3/4 - Setor Bueno, Goiânia - GO;70;2;3;1;R$ 72.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-70m2-venda-RS72000-id-2547267362/
Rua 70 - Jardim Goiás, Goiânia - GO;151;4;5;3;R$ 900.000;R$ 750;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-151m2-venda-RS900000-id-2575488595/
Rua T 27, 1468 - Setor Bueno, Goiânia - GO;191;3;5;3;R$ 1.700.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-191m2-venda-RS1700000-id-2574721811/
Rua 5, 418 - Setor Central, Goiânia - GO;330;4;5;4;R$ 650.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-central-bairros-goiania-com-garagem-330m2-venda-RS650000-id-2554712605/
Alameda Coronel Eugênio Jardim, 430 - Setor Marista, Goiânia - GO;244;3;4;--;R$ 2.650.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-marista-bairros-goiania-244m2-venda-RS2650000-id-2575137456/
Rua Jaçanã, 408 - Parque Amazônia, Goiânia - GO;96;3;3;2;R$ 480.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-parque-amazonia-bairros-goiania-com-garagem-96m2-venda-RS480000-id-2574996202/
Rua 56, 879 - Jardim Goiás, Goiânia - GO;128;3;4;2;R$ 1.100.000;R$ 900;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-128m2-venda-RS1100000-id-2569229484/
Rua Francisca Costa Cunha D. Tita, 955 - Setor Aeroporto, Goiânia - GO;70;2;1;1;R$ 189.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-aeroporto-bairros-goiania-com-garagem-70m2-venda-RS189000-id-2536928593/
Vila Fróes, Goiânia - GO;60;2;1;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-froes-bairros-goiania-com-garagem-60m2-venda-RS240000-id-2556269426/
Rua S 3, 419 - Setor Bela Vista, Goiânia - GO;77;2;2;1;R$ 380.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-77m2-venda-RS380000-id-2542816274/
Avenida Pedro Paulo de Souza, 953 - Goiania 2, Goiânia - GO;107;3;3;2;R$ 490.000;R$ 500;https://www.vivareal.com.br//imovel/apartamento-3-quartos-goiania-2-bairros-goiania-com-garagem-107m2-venda-RS490000-id-2548185809/
Rua JC101, Sn - Residencial Jardins do Cerrado 7, Goiânia - GO;42;2;1;1;R$ 110.000;R$ 125;https://www.vivareal.com.br//imovel/apartamento-2-quartos-residencial-jardins-do-cerrado-7-bairros-goiania-com-garagem-42m2-venda-RS110000-id-2538492874/
Rua 7, 247 - Setor Oeste, Goiânia - GO;94;4;3;1;R$ 450.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-94m2-venda-RS450000-id-2558996359/
Rua T 29, 1001 - Setor Bueno, Goiânia - GO;87;2;3;2;R$ 600.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-87m2-venda-RS600000-id-2516525476/
Rua 8, 754 - Setor Central, Goiânia - GO;74;3;1;1;R$ 179.000;R$ 381;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-central-bairros-goiania-com-garagem-74m2-venda-RS179000-id-2574931683/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;135;2-3;5;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-135m-2557184022/
Avenida T 4, 1278 - Setor Bueno, Goiânia - GO;118;4;5;2;R$ 730.000;R$ 606;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-bueno-bairros-goiania-com-garagem-118m2-venda-RS730000-id-2572784993/
Rua T 29, 634 - Setor Bueno, Goiânia - GO;127;3;4;3;R$ 800.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-127m2-venda-RS800000-id-2575673982/
Avenida T 13, 786 - Setor Bueno, Goiânia - GO;112;3;2;2;R$ 550.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-112m2-venda-RS550000-id-2569319991/
Rua 227, 360 - Setor Leste Universitário, Goiânia - GO;57;2;1;1;R$ 265.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-leste-universitario-bairros-goiania-com-garagem-57m2-venda-RS265000-id-2572878781/
Rua T 27, 133 - Setor Bueno, Goiânia - GO;105;3;4;2;R$ 630.000;R$ 630;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-105m2-venda-RS630000-id-2574161587/
Rua 14, 601 - Jardim Goiás, Goiânia - GO;91;3;3;2;R$ 750.000;R$ 440;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-91m2-venda-RS750000-id-2556662669/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;219;4;6;4;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-219m-2557188121/
Avenida dos Alpes, 144 - Vila Alpes, Goiânia - GO;65;2;2;2;R$ 335.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-alpes-bairros-goiania-com-garagem-65m2-venda-RS335000-id-2574340384/
Alameda Fleury Curado, 264 - Setor Faiçalville, Goiânia - GO;51;2;2;1;R$ 235.000;R$ 300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-51m2-venda-RS235000-id-2573043519/
Rua T 30, 2078 - Setor Bueno, Goiânia - GO;72;2;2;2;R$ 710.000;R$ 490;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-72m2-venda-RS710000-id-2567957521/
Rua T 65 A, 32 - Setor Bela Vista, Goiânia - GO;78;2;3;1;R$ 450.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-78m2-venda-RS450000-id-2535106177/
Rua 1, 370 - Setor Oeste, Goiânia - GO;152;3;4;2;R$ 525.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-152m2-venda-RS525000-id-2577307747/
Alameda Fleury Curado, 159 - Setor Faiçalville, Goiânia - GO;49;2;2;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-faicalville-bairros-goiania-com-garagem-49m2-venda-RS240000-id-2563909778/
Rua 22, Quadra G-10 - Setor Oeste, Goiânia - GO;88;2-3;3;2;Sob Consulta;;https://www.vivareal.com.br//imoveis-lancamento/maestro-residenza-88m-2557181553/
Rua 7, 310 - Setor Oeste, Goiânia - GO;200;4;4;2;R$ 830.000;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-200m2-venda-RS830000-id-2564075856/
Rua 3, 334 - Setor Oeste, Goiânia - GO;179;3;5;3;R$ 1.398.000;R$ 850;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-179m2-venda-RS1398000-id-2563736722/
Rua T 51, 921 - Setor Bueno, Goiânia - GO;89;2;3;2;R$ 600.000;R$ 620;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-89m2-venda-RS600000-id-2536274809/
Rua Maria Alice, 221 - Jardim Atlântico, Goiânia - GO;66;3;2;2;R$ 365.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-atlantico-bairros-goiania-com-garagem-66m2-venda-RS365000-id-2521982911/
Rua 15 - Setor Oeste, Goiânia - GO;108;3;3;1;R$ 360.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-oeste-bairros-goiania-com-garagem-108m2-venda-RS360000-id-2539165228/
Avenida H, 333 - Jardim Goiás, Goiânia - GO;345;4;6;4;R$ 2.450.000;R$ 2.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-345m2-venda-RS2450000-id-2575159691/
Avenida T 8, Que 64 lt 3/4 - Setor Bueno, Goiânia - GO;70;2;3;1;R$ 72.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bueno-bairros-goiania-com-garagem-70m2-venda-RS72000-id-2547267362/
Rua 70 - Jardim Goiás, Goiânia - GO;151;4;5;3;R$ 900.000;R$ 750;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-goias-bairros-goiania-com-garagem-151m2-venda-RS900000-id-2575488595/
Rua T 27, 1468 - Setor Bueno, Goiânia - GO;191;3;5;3;R$ 1.700.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-bueno-bairros-goiania-com-garagem-191m2-venda-RS1700000-id-2574721811/
Rua 5, 418 - Setor Central, Goiânia - GO;330;4;5;4;R$ 650.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-central-bairros-goiania-com-garagem-330m2-venda-RS650000-id-2554712605/
Alameda Coronel Eugênio Jardim, 430 - Setor Marista, Goiânia - GO;244;3;4;--;R$ 2.650.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-setor-marista-bairros-goiania-244m2-venda-RS2650000-id-2575137456/
Rua Jaçanã, 408 - Parque Amazônia, Goiânia - GO;96;3;3;2;R$ 480.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-parque-amazonia-bairros-goiania-com-garagem-96m2-venda-RS480000-id-2574996202/
Rua 56, 879 - Jardim Goiás, Goiânia - GO;128;3;4;2;R$ 1.100.000;R$ 900;https://www.vivareal.com.br//imovel/apartamento-3-quartos-jardim-goias-bairros-goiania-com-garagem-128m2-venda-RS1100000-id-2569229484/
Rua Francisca Costa Cunha D. Tita, 955 - Setor Aeroporto, Goiânia - GO;70;2;1;1;R$ 189.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-aeroporto-bairros-goiania-com-garagem-70m2-venda-RS189000-id-2536928593/
Vila Fróes, Goiânia - GO;60;2;1;1;R$ 240.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-froes-bairros-goiania-com-garagem-60m2-venda-RS240000-id-2556269426/
Rua S 3, 419 - Setor Bela Vista, Goiânia - GO;77;2;2;1;R$ 380.000;R$ 600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-setor-bela-vista-bairros-goiania-com-garagem-77m2-venda-RS380000-id-2542816274/
Avenida Pedro Paulo de Souza, 953 - Goiania 2, Goiânia - GO;107;3;3;2;R$ 490.000;R$ 500;https://www.vivareal.com.br//imovel/apartamento-3-quartos-goiania-2-bairros-goiania-com-garagem-107m2-venda-RS490000-id-2548185809/
Rua JC101, Sn - Residencial Jardins do Cerrado 7, Goiânia - GO;42;2;1;1;R$ 110.000;R$ 125;https://www.vivareal.com.br//imovel/apartamento-2-quartos-residencial-jardins-do-cerrado-7-bairros-goiania-com-garagem-42m2-venda-RS110000-id-2538492874/
Rua 7, 247 - Setor Oeste, Goiânia - GO;94;4;3;1;R$ 450.000;R$ 550;https://www.vivareal.com.br//imovel/apartamento-4-quartos-setor-oeste-bairros-goiania-com-garagem-94m2-venda-RS450000-id-2558996359/
